Season,Predicted_Rank,Team,Actual_Rank
2003-04,1,Indiana Pacers,2
2003-04,2,Dallas Mavericks,4
2003-04,3,Los Angeles Lakers,5
2003-04,4,Miami Heat,6
2003-04,5,Sacramento Kings,7
2003-04,6,Minnesota Timberwolves,8
2003-04,7,San Antonio Spurs,3
2003-04,8,Denver Nuggets,9
2003-04,9,Houston Rockets,10
2003-04,10,Milwaukee Bucks,12
2003-04,11,Boston Celtics,14
2003-04,12,Detroit Pistons,1
2003-04,13,New York Knicks,11
2003-04,14,Memphis Grizzlies,13
2004-05,1,Detroit Pistons,1
2004-05,2,San Antonio Spurs,2
2004-05,3,Miami Heat,3
2004-05,4,Boston Celtics,4
2004-05,5,Dallas Mavericks,5
2004-05,6,Denver Nuggets,12
2004-05,7,Chicago Bulls,6
2004-05,8,Houston Rockets,8
2004-05,9,Washington Wizards,7
2004-05,10,Sacramento Kings,10
2004-05,11,Indiana Pacers,9
2004-05,12,Philadelphia 76ers,11
2004-05,13,Memphis Grizzlies,13
2005-06,1,Los Angeles Clippers,3
2005-06,2,Dallas Mavericks,1
2005-06,3,Miami Heat,2
2005-06,4,Denver Nuggets,11
2005-06,5,San Antonio Spurs,5
2005-06,6,Detroit Pistons,4
2005-06,7,Washington Wizards,6
2005-06,8,Sacramento Kings,12
2005-06,9,Chicago Bulls,7
2005-06,10,Cleveland Cavaliers,8
2005-06,11,Los Angeles Lakers,10
2005-06,12,Indiana Pacers,9
2005-06,13,Milwaukee Bucks,13
2005-06,14,Memphis Grizzlies,14
2006-07,1,Detroit Pistons,2
2006-07,2,San Antonio Spurs,1
2006-07,3,Cleveland Cavaliers,3
2006-07,4,Golden State Warriors,4
2006-07,5,Washington Wizards,11
2006-07,6,Chicago Bulls,5
2006-07,7,Toronto Raptors,8
2006-07,8,Utah Jazz,6
2006-07,9,Houston Rockets,7
2006-07,10,Denver Nuggets,9
2006-07,11,Dallas Mavericks,10
2006-07,12,Orlando Magic,12
2006-07,13,Los Angeles Lakers,13
2006-07,14,Miami Heat,14
2007-08,1,Boston Celtics,1
2007-08,2,Detroit Pistons,2
2007-08,3,Cleveland Cavaliers,3
2007-08,4,Los Angeles Lakers,4
2007-08,5,Toronto Raptors,10
2007-08,6,Orlando Magic,5
2007-08,7,Dallas Mavericks,12
2007-08,8,Washington Wizards,9
2007-08,9,Utah Jazz,6
2007-08,10,San Antonio Spurs,7
2007-08,11,Houston Rockets,8
2007-08,12,Philadelphia 76ers,11
2007-08,13,Denver Nuggets,13
2007-08,14,Atlanta Hawks,14
2008-09,1,Cleveland Cavaliers,1
2008-09,2,Los Angeles Lakers,3
2008-09,3,Houston Rockets,8
2008-09,4,Miami Heat,5
2008-09,5,Denver Nuggets,2
2008-09,6,Atlanta Hawks,12
2008-09,7,Orlando Magic,4
2008-09,8,Boston Celtics,6
2008-09,9,Dallas Mavericks,7
2008-09,10,Chicago Bulls,9
2008-09,11,San Antonio Spurs,11
2008-09,12,Portland Trail Blazers,10
2008-09,13,Philadelphia 76ers,13
2008-09,14,Utah Jazz,14
2008-09,15,Detroit Pistons,15
2009-10,1,Orlando Magic,1
2009-10,2,Los Angeles Lakers,2
2009-10,3,Boston Celtics,3
2009-10,4,Utah Jazz,8
2009-10,5,Dallas Mavericks,5
2009-10,6,Cleveland Cavaliers,4
2009-10,7,Denver Nuggets,6
2009-10,8,Oklahoma City Thunder,7
2009-10,9,Milwaukee Bucks,10
2009-10,10,Portland Trail Blazers,14
2009-10,11,San Antonio Spurs,9
2009-10,12,Miami Heat,12
2009-10,13,Atlanta Hawks,11
2009-10,14,Chicago Bulls,13
2010-11,1,Dallas Mavericks,1
2010-11,2,Chicago Bulls,2
2010-11,3,Miami Heat,3
2010-11,4,Atlanta Hawks,10
2010-11,5,Orlando Magic,4
2010-11,6,New York Knicks,15
2010-11,7,Oklahoma City Thunder,5
2010-11,8,Boston Celtics,6
2010-11,9,Los Angeles Lakers,8
2010-11,10,San Antonio Spurs,9
2010-11,11,Memphis Grizzlies,7
2010-11,12,Denver Nuggets,11
2010-11,13,Portland Trail Blazers,12
2010-11,14,Indiana Pacers,13
2010-11,15,Philadelphia 76ers,14
2011-12,1,Indiana Pacers,4
2011-12,2,Memphis Grizzlies,6
2011-12,3,San Antonio Spurs,2
2011-12,4,Miami Heat,1
2011-12,5,Boston Celtics,5
2011-12,6,Denver Nuggets,7
2011-12,7,Philadelphia 76ers,8
2011-12,8,Chicago Bulls,9
2011-12,9,Los Angeles Lakers,10
2011-12,10,Oklahoma City Thunder,3
2011-12,11,Los Angeles Clippers,11
2011-12,12,Atlanta Hawks,12
2011-12,13,Dallas Mavericks,13
2011-12,14,Orlando Magic,14
2011-12,15,New York Knicks,15
2011-12,16,Utah Jazz,16
2012-13,1,Miami Heat,2
2012-13,2,San Antonio Spurs,1
2012-13,3,Brooklyn Nets,4
2012-13,4,Oklahoma City Thunder,5
2012-13,5,Memphis Grizzlies,6
2012-13,6,Boston Celtics,11
2012-13,7,Golden State Warriors,7
2012-13,8,Indiana Pacers,8
2012-13,9,Atlanta Hawks,10
2012-13,10,New York Knicks,3
2012-13,11,Houston Rockets,12
2012-13,12,Los Angeles Clippers,13
2012-13,13,Chicago Bulls,14
2012-13,14,Milwaukee Bucks,15
2012-13,15,Los Angeles Lakers,16
2012-13,16,Denver Nuggets,9
2013-14,1,San Antonio Spurs,1
2013-14,2,Washington Wizards,4
2013-14,3,Houston Rockets,5
2013-14,4,Miami Heat,3
2013-14,5,Indiana Pacers,7
2013-14,6,Atlanta Hawks,6
2013-14,7,Oklahoma City Thunder,8
2013-14,8,Los Angeles Clippers,2
2013-14,9,Toronto Raptors,10
2013-14,10,Brooklyn Nets,9
2013-14,11,Dallas Mavericks,11
2013-14,12,Golden State Warriors,12
2013-14,13,Memphis Grizzlies,14
2013-14,14,Chicago Bulls,13
2013-14,15,Portland Trail Blazers,15
2014-15,1,Washington Wizards,3
2014-15,2,Golden State Warriors,1
2014-15,3,Chicago Bulls,4
2014-15,4,Cleveland Cavaliers,2
2014-15,5,Los Angeles Clippers,5
2014-15,6,New Orleans Pelicans,13
2014-15,7,Atlanta Hawks,7
2014-15,8,San Antonio Spurs,6
2014-15,9,Memphis Grizzlies,8
2014-15,10,Boston Celtics,14
2014-15,11,Dallas Mavericks,10
2014-15,12,Houston Rockets,9
2014-15,13,Brooklyn Nets,11
2014-15,14,Portland Trail Blazers,12
2014-15,15,Milwaukee Bucks,15
2014-15,16,Toronto Raptors,16
2015-16,1,San Antonio Spurs,1
2015-16,2,Cleveland Cavaliers,2
2015-16,3,Atlanta Hawks,8
2015-16,4,Oklahoma City Thunder,3
2015-16,5,Miami Heat,5
2015-16,6,Golden State Warriors,4
2015-16,7,Los Angeles Clippers,7
2015-16,8,Indiana Pacers,6
2015-16,9,Toronto Raptors,10
2015-16,10,Portland Trail Blazers,9
2015-16,11,Boston Celtics,11
2015-16,12,Detroit Pistons,12
2015-16,13,Houston Rockets,13
2015-16,14,Dallas Mavericks,14
2015-16,15,Memphis Grizzlies,15
2016-17,1,Cleveland Cavaliers,2
2016-17,2,Houston Rockets,3
2016-17,3,Washington Wizards,5
2016-17,4,Golden State Warriors,1
2016-17,5,San Antonio Spurs,4
2016-17,6,Milwaukee Bucks,6
2016-17,7,Boston Celtics,9
2016-17,8,Toronto Raptors,12
2016-17,9,Atlanta Hawks,7
2016-17,10,Portland Trail Blazers,16
2016-17,11,Los Angeles Clippers,8
2016-17,12,Indiana Pacers,10
2016-17,13,Utah Jazz,11
2016-17,14,Oklahoma City Thunder,14
2016-17,15,Memphis Grizzlies,15
2016-17,16,Chicago Bulls,13
2017-18,1,Golden State Warriors,1
2017-18,2,Philadelphia 76ers,3
2017-18,3,Houston Rockets,4
2017-18,4,Boston Celtics,5
2017-18,5,Milwaukee Bucks,6
2017-18,6,New Orleans Pelicans,7
2017-18,7,Utah Jazz,10
2017-18,8,Cleveland Cavaliers,8
2017-18,9,Washington Wizards,9
2017-18,10,Portland Trail Blazers,13
2017-18,11,Oklahoma City Thunder,11
2017-18,12,Indiana Pacers,2
2017-18,13,San Antonio Spurs,15
2017-18,14,Toronto Raptors,12
2017-18,15,Minnesota Timberwolves,14
2017-18,16,Miami Heat,16
2018-19,1,Milwaukee Bucks,1
2018-19,2,Toronto Raptors,2
2018-19,3,Houston Rockets,4
2018-19,4,Philadelphia 76ers,5
2018-19,5,Denver Nuggets,6
2018-19,6,Boston Celtics,7
2018-19,7,Brooklyn Nets,14
2018-19,8,Golden State Warriors,3
2018-19,9,Portland Trail Blazers,8
2018-19,10,Oklahoma City Thunder,10
2018-19,11,Indiana Pacers,11
2018-19,12,San Antonio Spurs,9
2018-19,13,Utah Jazz,12
2018-19,14,Los Angeles Clippers,13
2018-19,15,Orlando Magic,15
2018-19,16,Detroit Pistons,16
2019-20,1,Boston Celtics,2
2019-20,2,Los Angeles Lakers,1
2019-20,3,Toronto Raptors,4
2019-20,4,Los Angeles Clippers,3
2019-20,5,Houston Rockets,8
2019-20,6,Miami Heat,6
2019-20,7,Utah Jazz,5
2019-20,8,Milwaukee Bucks,7
2019-20,9,Oklahoma City Thunder,10
2019-20,10,Portland Trail Blazers,13
2019-20,11,Denver Nuggets,9
2019-20,12,Dallas Mavericks,12
2019-20,13,Indiana Pacers,14
2019-20,14,Philadelphia 76ers,15
2019-20,15,Brooklyn Nets,16
2019-20,16,Orlando Magic,11
2020-21,1,Philadelphia 76ers,1
2020-21,2,Brooklyn Nets,2
2020-21,3,Los Angeles Clippers,4
2020-21,4,Memphis Grizzlies,12
2020-21,5,Milwaukee Bucks,3
2020-21,6,Utah Jazz,5
2020-21,7,Portland Trail Blazers,6
2020-21,8,Atlanta Hawks,7
2020-21,9,Dallas Mavericks,8
2020-21,10,Denver Nuggets,9
2020-21,11,New York Knicks,11
2020-21,12,Los Angeles Lakers,10
2020-21,13,Washington Wizards,14
2020-21,14,Boston Celtics,13
2020-21,15,Miami Heat,15
2021-22,1,Miami Heat,2
2021-22,2,Golden State Warriors,1
2021-22,3,Boston Celtics,3
2021-22,4,Milwaukee Bucks,5
2021-22,5,Dallas Mavericks,6
2021-22,6,Philadelphia 76ers,7
2021-22,7,Atlanta Hawks,14
2021-22,8,Memphis Grizzlies,4
2021-22,9,New Orleans Pelicans,8
2021-22,10,Brooklyn Nets,9
2021-22,11,Minnesota Timberwolves,10
2021-22,12,Utah Jazz,11
2021-22,13,Toronto Raptors,13
2021-22,14,Denver Nuggets,12
2021-22,15,Chicago Bulls,15
2022-23,1,Denver Nuggets,1
2022-23,2,Boston Celtics,2
2022-23,3,New York Knicks,5
2022-23,4,Golden State Warriors,6
2022-23,5,Philadelphia 76ers,7
2022-23,6,Los Angeles Lakers,3
2022-23,7,Sacramento Kings,8
2022-23,8,Atlanta Hawks,10
2022-23,9,Milwaukee Bucks,9
2022-23,10,Cleveland Cavaliers,11
2022-23,11,Los Angeles Clippers,12
2022-23,12,Memphis Grizzlies,13
2022-23,13,Miami Heat,4
2022-23,14,Minnesota Timberwolves,14
2022-23,15,Brooklyn Nets,15
2023-24,1,Orlando Magic,3
2023-24,2,Oklahoma City Thunder,2
2023-24,3,Boston Celtics,1
2023-24,4,Minnesota Timberwolves,4
2023-24,5,Dallas Mavericks,5
2023-24,6,Philadelphia 76ers,7
