Season,Predicted_Rank,Team,Actual_Rank,Raw_Prediction,Original_Index
2003-04,1,Indiana Pacers,2,0.37461758,127
2003-04,2,Los Angeles Lakers,5,0.62141633,152
2003-04,3,Dallas Mavericks,4,0.7777606,64
2003-04,4,Sacramento Kings,7,2.0338087,267
2003-04,5,Miami Heat,6,2.5538259,178
2003-04,6,Minnesota Timberwolves,8,4.0944443,208
2003-04,7,Houston Rockets,10,5.637871,114
2003-04,8,Denver Nuggets,9,5.676743,80
2003-04,9,Milwaukee Bucks,12,6.1823196,195
2003-04,10,San Antonio Spurs,3,7.005997,271
2003-04,11,New York Knicks,11,8.06897,217
2003-04,12,Detroit Pistons,1,9.424158,96
2003-04,13,Memphis Grizzlies,13,9.5383,165
2003-04,14,Boston Celtics,14,9.639311,13
2004-05,1,San Antonio Spurs,2,-0.046181202,272
2004-05,2,Detroit Pistons,1,0.048763677,97
2004-05,3,Miami Heat,3,0.25037816,179
2004-05,4,Boston Celtics,4,1.9596956,14
2004-05,5,Dallas Mavericks,5,2.2384257,65
2004-05,6,Chicago Bulls,6,2.2965388,41
2004-05,7,Houston Rockets,8,3.124386,115
2004-05,8,Denver Nuggets,12,3.1369014,81
2004-05,9,Washington Wizards,7,3.452856,308
2004-05,10,Sacramento Kings,10,5.680072,268
2004-05,11,Indiana Pacers,9,5.8564024,128
2004-05,12,Memphis Grizzlies,13,6.216575,166
2004-05,13,Philadelphia 76ers,11,6.7684097,244
2005-06,1,Dallas Mavericks,1,0.3263511,66
2005-06,2,Miami Heat,2,0.33032966,180
2005-06,3,Los Angeles Clippers,3,0.46711436,140
2005-06,4,Detroit Pistons,4,1.2289776,98
2005-06,5,San Antonio Spurs,5,1.4602617,273
2005-06,6,Denver Nuggets,11,2.642754,82
2005-06,7,Washington Wizards,6,4.241735,309
2005-06,8,Indiana Pacers,9,4.4878836,129
2005-06,9,Chicago Bulls,7,4.705553,42
2005-06,10,Sacramento Kings,12,4.7862206,269
2005-06,11,Cleveland Cavaliers,8,6.330536,53
2005-06,12,Los Angeles Lakers,10,7.2130117,153
2005-06,13,Milwaukee Bucks,13,9.708176,196
2005-06,14,Memphis Grizzlies,14,11.186048,167
2006-07,1,Cleveland Cavaliers,3,0.4888466,54
2006-07,2,Detroit Pistons,2,0.5091515,99
2006-07,3,San Antonio Spurs,1,0.59678125,274
2006-07,4,Golden State Warriors,4,2.0290465,104
2006-07,5,Toronto Raptors,8,2.0776682,287
2006-07,6,Chicago Bulls,5,2.3041592,43
2006-07,7,Utah Jazz,6,2.7778811,297
2006-07,8,Washington Wizards,11,3.1100273,310
2006-07,9,Denver Nuggets,9,3.4895287,83
2006-07,10,Houston Rockets,7,3.883,116
2006-07,11,Dallas Mavericks,10,4.4789405,67
2006-07,12,Los Angeles Lakers,13,7.3587694,154
2006-07,13,Orlando Magic,12,7.5485034,235
2006-07,14,Miami Heat,14,7.614196,181
2007-08,1,Boston Celtics,1,0.056619957,15
2007-08,2,Detroit Pistons,2,0.54741776,100
2007-08,3,Cleveland Cavaliers,3,0.6531341,55
2007-08,4,Dallas Mavericks,12,0.6578441,68
2007-08,5,Los Angeles Lakers,4,1.0899715,155
2007-08,6,Orlando Magic,5,2.2439787,236
2007-08,7,Toronto Raptors,10,2.529241,288
2007-08,8,San Antonio Spurs,7,2.80076,275
2007-08,9,Utah Jazz,6,2.8177555,298
2007-08,10,Washington Wizards,9,3.7408373,311
2007-08,11,Houston Rockets,8,5.375093,117
2007-08,12,Denver Nuggets,13,6.945998,84
2007-08,13,Philadelphia 76ers,11,8.660786,245
2007-08,14,Atlanta Hawks,14,9.601909,0
2008-09,1,Los Angeles Lakers,3,0.32803044,156
2008-09,2,Cleveland Cavaliers,1,0.33414719,56
2008-09,3,Denver Nuggets,2,0.44197828,85
2008-09,4,Orlando Magic,4,0.5995315,237
2008-09,5,Miami Heat,5,1.051784,182
2008-09,6,Boston Celtics,6,2.2081146,16
2008-09,7,Dallas Mavericks,7,2.4839694,69
2008-09,8,Houston Rockets,8,2.5051365,118
2008-09,9,Atlanta Hawks,12,2.5857742,1
2008-09,10,Portland Trail Blazers,10,3.6177132,256
2008-09,11,Chicago Bulls,9,4.5482044,44
2008-09,12,San Antonio Spurs,11,6.724534,276
2008-09,13,Philadelphia 76ers,13,9.117676,246
2008-09,14,Detroit Pistons,15,9.812788,101
2008-09,15,Utah Jazz,14,10.332413,299
2009-10,1,Orlando Magic,1,0.45377564,238
2009-10,2,Boston Celtics,3,1.1949391,17
2009-10,3,Dallas Mavericks,5,1.2048972,70
2009-10,4,Cleveland Cavaliers,4,1.2406309,57
2009-10,5,Denver Nuggets,6,1.9579026,86
2009-10,6,Utah Jazz,8,2.69558,300
2009-10,7,San Antonio Spurs,9,3.585023,277
2009-10,8,Los Angeles Lakers,2,3.8324223,157
2009-10,9,Oklahoma City Thunder,7,4.223908,224
2009-10,10,Atlanta Hawks,11,6.2395053,2
