Season,Spearman_Correlation,Kendall_Tau,MAE,Perfect_Matches,Total_Teams
2003-04,0.5296703296703297,0.4945054945054945,2.5714285714285716,3,14
2004-05,0.9120879120879121,0.7948717948717947,1.0769230769230769,5,13
2005-06,0.8945054945054945,0.8021978021978022,1.1428571428571428,7,14
2006-07,0.9120879120879121,0.7582417582417583,1.2857142857142858,4,14
2007-08,0.7802197802197802,0.6703296703296704,1.7142857142857142,4,14
2008-09,0.9607142857142855,0.8666666666666667,0.8,7,15
2009-10,0.8678571428571429,0.7333333333333334,1.7333333333333334,2,15
2010-11,0.8035714285714284,0.7142857142857143,1.6,3,15
2011-12,0.9,0.7999999999999999,1.375,2,16
2012-13,0.7470588235294118,0.6,2.25,3,16
2013-14,0.7794117647058825,0.65,2.0,4,16
2014-15,0.8647058823529412,0.7666666666666667,1.625,5,16
2015-16,0.9428571428571427,0.8476190476190477,0.8,9,15
2016-17,0.8558823529411764,0.7,1.875,2,16
2017-18,0.6794117647058824,0.6,2.375,2,16
2018-19,0.9176470588235294,0.7999999999999999,1.25,4,16
2019-20,0.9323529411764706,0.8333333333333333,1.0,8,16
2020-21,0.9428571428571427,0.8285714285714286,1.0666666666666667,4,15
2021-22,0.7678571428571428,0.6190476190476191,2.0,4,15
2022-23,0.7714285714285712,0.7142857142857143,1.6,5,15
2023-24,0.9678571428571429,0.8666666666666667,0.8,6,15
