Season,Team,Actual_Rank,Predicted_Rank
2003-04,Detroit Pistons,1,1
2003-04,Indiana Pacers,2,2
2003-04,San Antonio Spurs,3,3
2003-04,New Jersey Nets,4,4
2003-04,Dallas Mavericks,5,5
2003-04,Los Angeles Lakers,6,6
2003-04,Miami Heat,7,7
2003-04,Sacramento Kings,8,8
2003-04,Minnesota Timberwolves,9,9
2003-04,New Orleans Hornets,10,10
2003-04,Houston Rockets,12,11
2003-04,Denver Nuggets,11,12
2003-04,New York Knicks,13,13
2003-04,Milwaukee Bucks,14,14
2003-04,Memphis Grizzlies,15,15
2003-04,Boston Celtics,16,16
2004-05,Detroit Pistons,1,1
2004-05,San Antonio Spurs,2,2
2004-05,Miami Heat,3,3
2004-05,Phoenix Suns,4,4
2004-05,Boston Celtics,5,5
2004-05,Dallas Mavericks,6,6
2004-05,Chicago Bulls,7,7
2004-05,Seattle Supersonics,8,8
2004-05,Washington Wizards,9,9
2004-05,Houston Rockets,10,10
2004-05,Indiana Pacers,11,11
2004-05,Sacramento Kings,12,12
2004-05,Philadelphia 76ers,13,13
2004-05,Denver Nuggets,14,14
2004-05,Memphis Grizzlies,15,15
2004-05,New Jersey Nets,16,16
2005-06,Dallas Mavericks,1,1
2005-06,Miami Heat,2,2
2005-06,Los Angeles Clippers,3,3
2005-06,Detroit Pistons,4,4
2005-06,San Antonio Spurs,5,5
2005-06,Phoenix Suns,6,6
2005-06,Washington Wizards,7,7
2005-06,New Jersey Nets,8,8
2005-06,Chicago Bulls,9,9
2005-06,Cleveland Cavaliers,10,10
2005-06,Indiana Pacers,11,11
2005-06,Los Angeles Lakers,12,12
2005-06,Denver Nuggets,13,13
2005-06,Sacramento Kings,14,14
2005-06,Milwaukee Bucks,15,15
2005-06,Memphis Grizzlies,16,16
2006-07,Phoenix Suns,1,1
2006-07,San Antonio Spurs,2,2
2006-07,Detroit Pistons,3,3
2006-07,Cleveland Cavaliers,4,4
2006-07,New Jersey Nets,5,5
2006-07,Golden State Warriors,6,6
2006-07,Chicago Bulls,7,7
2006-07,Utah Jazz,8,8
2006-07,Houston Rockets,9,9
2006-07,Toronto Raptors,10,10
2006-07,Denver Nuggets,11,11
2006-07,Washington Wizards,13,12
2006-07,Dallas Mavericks,12,13
2006-07,Orlando Magic,14,14
2006-07,Los Angeles Lakers,15,15
2006-07,Miami Heat,16,16
2007-08,Boston Celtics,1,1
2007-08,New Orleans Hornets,2,2
2007-08,Detroit Pistons,3,3
2007-08,Cleveland Cavaliers,4,4
2007-08,Los Angeles Lakers,5,5
2007-08,Orlando Magic,6,6
2007-08,Utah Jazz,7,7
2007-08,San Antonio Spurs,8,8
2007-08,Phoenix Suns,9,9
2007-08,Houston Rockets,10,10
2007-08,Toronto Raptors,12,11
2007-08,Washington Wizards,11,12
2007-08,Philadelphia 76ers,13,13
2007-08,Dallas Mavericks,14,14
2007-08,Denver Nuggets,15,15
2007-08,Atlanta Hawks,16,16
2008-09,Cleveland Cavaliers,1,1
2008-09,Denver Nuggets,2,2
2008-09,Los Angeles Lakers,3,3
2008-09,Orlando Magic,4,4
2008-09,Miami Heat,5,5
2008-09,Boston Celtics,6,6
2008-09,Dallas Mavericks,7,7
2008-09,Houston Rockets,8,8
2008-09,Chicago Bulls,9,9
2008-09,Portland Trail Blazers,10,10
2008-09,San Antonio Spurs,11,11
2008-09,Atlanta Hawks,12,12
2008-09,Philadelphia 76ers,13,13
2008-09,Utah Jazz,14,14
2008-09,Detroit Pistons,15,15
2008-09,New Orleans Hornets,16,16
2009-10,Orlando Magic,1,1
2009-10,Phoenix Suns,2,2
2009-10,Los Angeles Lakers,3,3
2009-10,Boston Celtics,4,4
2009-10,Cleveland Cavaliers,5,5
2009-10,Dallas Mavericks,6,6
2009-10,Denver Nuggets,7,7
2009-10,Oklahoma City Thunder,8,8
2009-10,Utah Jazz,9,9
2009-10,San Antonio Spurs,10,10
2009-10,Milwaukee Bucks,11,11
2009-10,Atlanta Hawks,12,12
2009-10,Miami Heat,13,13
2009-10,Chicago Bulls,14,14
2009-10,Charlotte Bobcats,15,15
2009-10,Portland Trail Blazers,16,16
2010-11,Dallas Mavericks,1,1
2010-11,Chicago Bulls,2,2
2010-11,Miami Heat,3,3
2010-11,Orlando Magic,4,4
2010-11,Oklahoma City Thunder,5,5
2010-11,Boston Celtics,6,6
2010-11,Los Angeles Lakers,8,7
2010-11,Memphis Grizzlies,7,8
2010-11,San Antonio Spurs,9,9
2010-11,Atlanta Hawks,10,10
2010-11,Denver Nuggets,11,11
2010-11,Portland Trail Blazers,12,12
2010-11,Indiana Pacers,13,13
2010-11,New Orleans Hornets,14,14
2010-11,Philadelphia 76ers,15,15
2010-11,New York Knicks,16,16
2011-12,Miami Heat,1,1
2011-12,San Antonio Spurs,2,2
2011-12,Oklahoma City Thunder,3,3
2011-12,Indiana Pacers,4,4
2011-12,Boston Celtics,5,5
2011-12,Denver Nuggets,7,6
2011-12,Memphis Grizzlies,6,7
2011-12,Philadelphia 76ers,8,8
2011-12,Chicago Bulls,9,9
2011-12,Los Angeles Lakers,10,10
2011-12,Los Angeles Clippers,11,11
2011-12,Atlanta Hawks,12,12
2011-12,Dallas Mavericks,13,13
2011-12,Orlando Magic,14,14
2011-12,Utah Jazz,16,15
2011-12,New York Knicks,15,16
2012-13,San Antonio Spurs,1,1
2012-13,Miami Heat,2,2
2012-13,New York Knicks,3,3
2012-13,Brooklyn Nets,4,4
2012-13,Oklahoma City Thunder,5,5
2012-13,Memphis Grizzlies,6,6
2012-13,Golden State Warriors,7,7
2012-13,Indiana Pacers,8,8
2012-13,Denver Nuggets,9,9
2012-13,Atlanta Hawks,10,10
2012-13,Boston Celtics,11,11
2012-13,Houston Rockets,12,12
2012-13,Los Angeles Clippers,13,13
2012-13,Chicago Bulls,14,14
2012-13,Milwaukee Bucks,15,15
2012-13,Los Angeles Lakers,16,16
2013-14,San Antonio Spurs,1,1
2013-14,Los Angeles Clippers,2,2
2013-14,Miami Heat,3,3
2013-14,Washington Wizards,4,4
2013-14,Houston Rockets,5,5
2013-14,Chicago Bulls,13,6
2013-14,Atlanta Hawks,6,7
2013-14,Indiana Pacers,7,8
2013-14,Oklahoma City Thunder,8,9
2013-14,Brooklyn Nets,9,10
2013-14,Toronto Raptors,10,11
2013-14,Dallas Mavericks,11,12
2013-14,Golden State Warriors,12,13
2013-14,Memphis Grizzlies,14,14
2013-14,Portland Trail Blazers,15,15
2013-14,Charlotte Bobcats,16,16
2014-15,Golden State Warriors,1,1
2014-15,Cleveland Cavaliers,2,2
2014-15,Washington Wizards,3,3
2014-15,Chicago Bulls,4,4
2014-15,Los Angeles Clippers,5,5
2014-15,San Antonio Spurs,6,6
2014-15,Atlanta Hawks,7,7
2014-15,Memphis Grizzlies,8,8
2014-15,Houston Rockets,9,9
