Season,Spearman_Correlation,Kendall_Tau,MAE,Perfect_Matches,Total_Teams
2003-04,0.9970588235294118,0.9833333333333333,0.125,14,16
2004-05,1.0,1.0,0.0,16,16
2005-06,1.0,1.0,0.0,16,16
2006-07,0.9970588235294118,0.9833333333333333,0.125,14,16
2007-08,0.9970588235294118,0.9833333333333333,0.125,14,16
2008-09,1.0,1.0,0.0,16,16
2009-10,1.0,1.0,0.0,16,16
2010-11,0.9970588235294118,0.9833333333333333,0.125,14,16
2011-12,0.9941176470588234,0.9666666666666667,0.25,12,16
2012-13,1.0,1.0,0.0,16,16
2013-14,0.9176470588235294,0.8833333333333333,0.875,8,16
2014-15,0.9970588235294118,0.9833333333333333,0.125,14,16
2015-16,1.0,1.0,0.0,16,16
2016-17,1.0,1.0,0.0,16,16
2017-18,0.9970588235294118,0.9833333333333333,0.125,14,16
2018-19,0.9970588235294118,0.9833333333333333,0.125,14,16
2019-20,0.9970588235294118,0.9833333333333333,0.125,14,16
2020-21,1.0,1.0,0.0,16,16
2021-22,1.0,1.0,0.0,16,16
2022-23,0.9970588235294118,0.9833333333333333,0.125,14,16
2023-24,0.911764705882353,0.8499999999999999,1.0,7,16
